itemId,account,category,oldTier,newTier,h,w,l,weightG,status,error
MLB3930274497,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3930279265,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB5216392874,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3929943229,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB5217666918,JOTABÊ AUTOPEÇAS,MLB190976,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5217692134,JOTABÊ AUTOPEÇAS,MLB190976,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5218792290,JOTABÊ AUTOPEÇAS,MLB190976,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5219023788,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3932926497,JOTABÊ AUTOPEÇAS,MLB63583,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3931938247,JOTABÊ AUTOPEÇAS,MLB47131,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3933054099,JOTABÊ AUTOPEÇAS,MLB63583,SMALL_LONG,MEDIUM,25,25,25,2000,ok,
MLB3931919025,JOTABÊ AUTOPEÇAS,MLB190976,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3931852767,JOTABÊ AUTOPEÇAS,MLB190976,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3933101625,JOTABÊ AUTOPEÇAS,MLB431271,XLARGE,XXLARGE,30,70,100,18000,ok,
MLB5221147250,JOTABÊ AUTOPEÇAS,MLB428983,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3932222833,JOTABÊ AUTOPEÇAS,MLB47131,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5226775404,JOTABÊ AUTOPEÇAS,MLB101764,XLARGE,XXLARGE,30,70,100,18000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length] are too small for the product dimensions)
MLB3934586977,JOTABÊ AUTOPEÇAS,MLB191714,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3949575951,JOTABÊ AUTOPEÇAS,MLB194431,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5255488356,JOTABÊ AUTOPEÇAS,MLB63389,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5253054490,JOTABÊ AUTOPEÇAS,MLB63389,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5258519038,JOTABÊ AUTOPEÇAS,MLB456316,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB5256360970,JOTABÊ AUTOPEÇAS,MLB63736,MEDIUM_FLAT,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5273955510,JOTABÊ AUTOPEÇAS,MLB193531,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3961539509,JOTABÊ AUTOPEÇAS,MLB437843,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5277756744,JOTABÊ AUTOPEÇAS,MLB428983,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3967797923,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,ok,
MLB5278806548,JOTABÊ AUTOPEÇAS,MLB191713,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height] are too small for the product dimensions)
MLB3973522013,JOTABÊ AUTOPEÇAS,MLB115598,TINY,SMALL,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3974813141,JOTABÊ AUTOPEÇAS,MLB193531,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3973770929,JOTABÊ AUTOPEÇAS,MLB437843,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3975565753,JOTABÊ AUTOPEÇAS,MLB47110,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width] are too small for the product dimensions)
MLB3975823879,JOTABÊ AUTOPEÇAS,MLB192357,SMALL,MEDIUM,25,25,25,2000,ok,
MLB3978908537,JOTABÊ AUTOPEÇAS,MLB191703,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB5289951134,JOTABÊ AUTOPEÇAS,MLB456647,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3979127259,JOTABÊ AUTOPEÇAS,MLB456622,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length; seller_package_width; seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3981053769,JOTABÊ AUTOPEÇAS,MLB193531,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB5290775452,JOTABÊ AUTOPEÇAS,MLB458447,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB5290619002,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3976665777,JOTABÊ AUTOPEÇAS,MLB192359,SMALL_LONG,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB3990141395,JOTABÊ AUTOPEÇAS,MLB192357,SMALL,MEDIUM,25,25,25,2000,ok,
MLB4006125039,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB5328815042,JOTABÊ AUTOPEÇAS,MLB63736,MEDIUM_FLAT,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length] are too small for the product dimensions)
MLB4012819803,JOTABÊ AUTOPEÇAS,MLB269576,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_width; seller_package_length] are too small for the product dimensions)
MLB5332771606,JOTABÊ AUTOPEÇAS,MLB188061,SMALL,MEDIUM,25,25,25,2000,ok,
