productId,h,w,l,weightKg,source,itemRef,error
"cmnckfeke022uvs60inly8ild","15","15","15","0.6","cat:MLB191714->SMALL","MLB4693689308",""
"cmnckc11f012lvs9ktgsk5kkt","30","50","80","12","cat:MLB101763->XLARGE","MLB3698828599",""
"cmnckbzag012fvs9kcawtexhs","10","10","50","0.8","cat:MLB191713->SMALL_LONG","MLB3698244747",""
"cmnckc27b012pvs9kxxgudvc3","30","50","80","12","cat:MLB101763->XLARGE","MLB3700623335",""
"cmnclac7u01x9vs1cckpwxofk","25","25","25","2","cat:MLB191715->MEDIUM","MLB4699349378",""
"cmncla47v000qvs1cpcg2120v","25","25","25","2","kw:MEDIUM","MLB3698607919",""
"cmnckc1mc012nvs9ka0tun12s","30","50","80","12","cat:MLB101763->XLARGE","MLB3699707255",""
"cmnclaqkb04kevs1c871e72eq","15","15","15","0.6","cat:MLB191714->SMALL","MLB4709451212",""
"cmnckc2sf012rvs9kh6mp5j9z","15","15","15","0.6","cat:MLB428983->SMALL","MLB3701957913",""
"cmnclaqkb04kdvs1cxqjvpwez","25","25","25","2","cat:MLB190976->MEDIUM","MLB4700148488",""
"cmnckbthi011vvs9k0jveuh03","10","10","50","0.8","cat:MLB191713->SMALL_LONG","MLB3675629191",""
"cmnclamef03upvs1cub6ka40n","15","15","15","0.6","cat:MLB191714->SMALL","MLB3693790839",""
"cmnckfeke022yvs601r0d2itu","30","50","80","12","cat:MLB101763->XLARGE","MLB4710523766",""
"cmnckbzvh012hvs9k3mvc528t","15","15","15","0.6","cat:MLB428983->SMALL","MLB3698402533",""
"cmnckfeke022wvs6060z34o59","30","50","80","12","cat:MLB101763->XLARGE","MLB4704202528",""
"cmnclamef03ujvs1ck32yhz8h","15","15","15","0.6","cat:MLB191714->SMALL","MLB3688921417",""
"cmnckc0gb012jvs9k5wvjncn9","30","50","80","12","cat:MLB101763->XLARGE","MLB3698782241",""
"cmnclac7u01xevs1c7h4lusou","25","25","25","2","cat:MLB269576->MEDIUM","MLB4709330008",""
"cmnckc3hf012tvs9k3im57077","15","15","15","0.6","cat:MLB194431->SMALL","MLB3703626769",""
"cmnckfeke0230vs60fdnbwvpy","25","25","25","2","cat:MLB22645->MEDIUM","MLB4720244852",""
"cmnclaohi03uxvs1c5bw7yg65","15","15","15","0.6","cat:MLB191714->SMALL","MLB3703792531",""
"cmnclaohi03uzvs1chgn2pd6q","30","40","50","5","cat:MLB7863->LARGE","MLB3706825257",""
"cmnclaohi03uyvs1c5zxnis5s","15","15","15","0.6","cat:MLB191714->SMALL","MLB3703833473",""
"cmnclaeew01xgvs1c716ymx61","15","15","15","0.6","cat:MLB431130->SMALL","MLB4724581246",""
"cmnclamef03uvvs1c8kugd4x4","15","15","15","0.6","cat:MLB191714->SMALL","MLB3703612587",""
"cmnclamef03uuvs1crzapkik1","25","25","25","2","cat:MLB63512->MEDIUM","MLB3698129599",""
"cmnckfeke022zvs60rrfw6911","25","25","25","2","cat:MLB22645->MEDIUM","MLB4716065270",""
"cmnclaohi03uwvs1csqwpdech","15","15","15","0.6","cat:MLB191714->SMALL","MLB3703732045",""
"cmnclac7u01xfvs1cg8451y6g","15","15","15","0.6","cat:MLB193531->SMALL","MLB4720244776",""
"cmnclaohi03v0vs1cwrd57x0e","30","40","50","5","cat:MLB7863->LARGE","MLB3706917079",""
"cmnckc42g012vvs9k8bv2pkqv","30","50","80","12","cat:MLB101763->XLARGE","MLB3703706319",""
"cmnckc4nb012xvs9k2xv45e0h","15","15","15","0.6","cat:MLB194431->SMALL","MLB3703708615",""
"cmnckfeke0232vs60z8d0isf2","25","25","25","2","cat:MLB22645->MEDIUM","MLB4720403096",""
"cmnclaeew01xhvs1ckz2j1ixc","30","80","100","18","cat:MLB101765->XXLARGE","MLB4746244248",""
"cmnckc587012zvs9kdc4bblu1","25","25","25","2","cat:MLB22645->MEDIUM","MLB3709685125",""
"cmnclaeew01xlvs1coxw8fyw2","25","25","25","2","cat:MLB191715->MEDIUM","MLB4776124926",""
"cmnclaeew01xnvs1cntxxlzib","25","25","25","2","cat:MLB191715->MEDIUM","MLB4787479218",""
"cmnclaqkc04kivs1co61twm1k","25","25","25","2","cat:MLB190976->MEDIUM","MLB4783679606",""
"cmnclaohi03v1vs1c6zu000f4","15","15","15","0.6","cat:MLB191714->SMALL","MLB3725468629",""
"cmnclaqkc04kgvs1csfolxoix","15","15","15","0.6","cat:MLB191714->SMALL","MLB4755128874",""
"cmnclaeew01xivs1c2pmorez5","30","50","80","12","cat:MLB194752->XLARGE","MLB4759331398",""
"cmnclaeew01xovs1cjvdaihha","30","80","100","18","cat:MLB101765->XXLARGE","MLB4787516330",""
"cmncla47w000tvs1cor88bndl","25","25","25","2","cat:MLB47131->MEDIUM","MLB3736945479",""
"cmnclaeew01xkvs1csah4rvi7","25","25","25","2","cat:MLB191715->MEDIUM","MLB4771686114",""
"cmnckfeke0233vs60a5bivjpw","30","50","80","12","cat:MLB101763->XLARGE","MLB4795409764",""
"cmnclaeew01xmvs1c6zp6323g","30","80","100","18","kw:XXLARGE","MLB4780989768",""
"cmncla47w000svs1csp4304zp","25","25","25","2","cat:MLB191715->MEDIUM","MLB3727510893",""
"cmnclaqkc04khvs1c0b1hv7ah","15","15","15","0.6","cat:MLB191714->SMALL","MLB4763383674",""
"cmnclaeew01xjvs1cxvfajou2","15","15","15","0.6","cat:MLB431130->SMALL","MLB4762608304",""
"cmnclaqkc04kmvs1cu1ecxpjj","15","15","15","0.6","cat:MLB191714->SMALL","MLB4796297396",""
"cmnclaeew01xqvs1cqbyoewzn","25","25","25","2","cat:MLB191715->MEDIUM","MLB4795385616",""
"cmnclaeew01xuvs1cf0ccwvqx","25","25","25","2","cat:MLB191715->MEDIUM","MLB4808513140",""
"cmnclaeew01xtvs1cqja22995","25","25","25","2","cat:MLB191715->MEDIUM","MLB4796456942",""
"cmnclaohi03v7vs1cv7i295pu","30","40","50","5","cat:MLB7863->LARGE","MLB3750253939",""
"cmncla47w000uvs1cewq6fcwh","25","25","25","2","cat:MLB191715->MEDIUM","MLB3744641177",""
"cmnclaqkc04knvs1csen9ixfv","25","25","25","2","cat:MLB63512->MEDIUM","MLB4798973008",""
"cmnckfeke0234vs60i9gakusd","15","15","15","0.6","cat:MLB428983->SMALL","MLB4796419626",""
"cmncla47w000wvs1c26q27onq","25","25","25","2","cat:MLB191715->MEDIUM","MLB3745222673",""
"cmnck0j8i0005vs9k26hawyv2","25","25","25","2","cat:MLB191715->MEDIUM","MLB3744661013",""
"cmncla47w000xvs1cg0v6rcv8","15","15","15","0.6","fallback:SMALL","MLB3746063205",""
"cmnckc8500139vs9kiv63ppck","15","15","15","0.6","cat:MLB428983->SMALL","MLB3746119233",""
"cmncla47w0014vs1c8bcogt64","25","25","25","2","cat:MLB47110->MEDIUM","MLB3759705499",""
"cmnclaeew01xwvs1cyriyyny4","25","25","25","2","kw:MEDIUM","MLB4835585266",""
"cmncla47w000vvs1cxgtrh8zj","25","25","25","2","cat:MLB191715->MEDIUM","MLB3745089283",""
"cmncla47w0011vs1cu3vavr16","10","10","10","0.3","cat:MLB22668->TINY","MLB3758152067",""
"cmncla47w0010vs1clcwr8ew4","10","10","10","0.3","kw:TINY","MLB3758121011",""
"cmnckcagq013hvs9kkc9dvq62","30","50","80","12","cat:MLB101763->XLARGE","MLB3754636653",""
"cmnclaqkc04kpvs1clbsqkrk5","15","15","15","0.6","cat:MLB191714->SMALL","MLB4829252698",""
"cmnckc9aw013dvs9krq1jcaly","15","15","15","0.6","cat:MLB194431->SMALL","MLB3751408495",""
"cmnclaeew01xvvs1cvo8h9smp","25","25","25","2","kw:MEDIUM","MLB4835205808",""
"cmnclaeew01xpvs1c72okua4b","25","25","25","2","cat:MLB191715->MEDIUM","MLB4787570476",""
"cmncla47w0013vs1cgaaaqhoa","10","10","10","0.3","kw:TINY","MLB3759647747",""
