itemId,account,h,w,l,weightG,status,error
MLB3586128019,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4418468898,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4422822858,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4422846682,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3586237955,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3585991401,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB4418928438,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4418504672,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3586270321,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB3585847305,JOTABÊ AUTOPEÇAS,20,15,15,600,ok,
MLB3585880997,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3584351435,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4423760560,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4422792876,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3585810297,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4422736614,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3586933067,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3587622351,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3587678593,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3587636127,JOTABÊ AUTOPEÇAS,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height; seller_package_weight] are too small for the product dimensions)
MLB3587677095,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4422736014,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3587092399,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB4430468024,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4430219804,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3586754577,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3586754455,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3586901943,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3587718421,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3586943485,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4431183858,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3590136305,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3590166987,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3589077827,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4431346714,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3588896295,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4431213466,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB4431305834,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3590228685,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB4431137432,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4427458890,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4431255780,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
