itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error
"MLB6543430928","JOTABÊ AUTOPEÇAS","MLB63512","Motor Bomba Limpador Parabrisa Volkswagen Gol G5 2008","28405","SELLER_SKU","65","1","25","25","25","2","cat:MLB63512->MEDIUM","cmmwc6i9y095mvsakw0o3wsah","","create-new",""
"MLB6543742656","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Esquerda Volkswagen Gol G5 2010 Traseira Esq Prata","28416","SELLER_SKU","339","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB4574460921","JOTABÊ AUTOPEÇAS","MLB191714","Motor Vidro Dianteiro Direito Volkswagen Gol Saveiro G5 2013","28487","SELLER_SKU","25","1","15","15","15","0.6","cat:MLB191714->SMALL","cmmwc42u00763vsakunc8b6xt","","create-new",""
"MLB6543746478","JOTABÊ AUTOPEÇAS","MLB22645","Circuito Lanterna Direita Volkswagen Gol G7 2018 Direito/passageiro Branco","28423","SELLER_SKU","69","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6543484774","JOTABÊ AUTOPEÇAS","MLB243152","Chave Luz Volkswagen Gol G7 2018","28406","SELLER_SKU","75","1","10","10","10","0.3","kw:TINY","cmmwc4s8c07quvsak3bw7sc2c","","create-new",""
"MLB6543769122","JOTABÊ AUTOPEÇAS","MLB193933","Mangueira Filtro Ar Volkswagen Gol G7 2018","28426","SELLER_SKU","75","1","10","10","50","0.8","cat:MLB193933->SMALL_LONG","cmmwbyxzw031fvsakdunhj8gb","","create-new",""
"MLB4574465689","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Chevrolet Vectra Gt 2008 Direito/passageiro Vermelho","28488","SELLER_SKU","250","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6543781108","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Renault Clio 2009 Traseira Direita Prata","28425","SELLER_SKU","239","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB6543777186","JOTABÊ AUTOPEÇAS","MLB458487","Porta Copos Console Volkswagen Gol G7 2018 Preto","28417","SELLER_SKU","55","1","15","15","15","0.6","fallback:SMALL","cmmwc4a4i07c8vsakox9of1zh","","create-new",""
"MLB6543730760","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Honda Fit 2008 Traseira Direita Cinza","28418","SELLER_SKU","339","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB6543682044","JOTABÊ AUTOPEÇAS","MLB22747","Lanterna Luz Teto Volkswagen Gol G7 2018","28421","SELLER_SKU","65","1","10","10","10","0.3","cat:MLB22747->TINY","cmmwbyzn9032uvsakhpwd4p60","","create-new",""
"MLB6543727574","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Ford Fiesta 2006 Traseira Direita Cinza","28412","SELLER_SKU","249","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB6543719836","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Fiat Palio 2005 Traseira Direi Cinza","28422","SELLER_SKU","239","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
